,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,ID
24972,2002-02-12,Cyprus,Switzerland,1,1,Cyprus International Tournament,Nicosia,Cyprus,False,2002-02-12-Cyprus-Switzerland
25001,2002-02-15,China PR,Slovenia,0,0,Lunar New Year Cup,So Kon Po,Hong Kong,True,2002-02-15-China PR-Slovenia
25003,2002-02-16,Thailand,North Korea,0,0,King's Cup,Bangkok,Thailand,False,2002-02-16-Thailand-North Korea
25062,2002-03-30,Botswana,South Africa,0,0,COSAFA Cup,Gaborone,Botswana,False,2002-03-30-Botswana-South Africa
25131,2002-05-17,Russia,Belarus,1,1,Friendly,Moscow,Russia,False,2002-05-17-Russia-Belarus
25146,2002-05-19,Russia,Serbia,1,1,Friendly,Moscow,Russia,False,2002-05-19-Russia-Serbia
25164,2002-05-31,France,Senegal,0,1,FIFA World Cup,Seoul,South Korea,True,2002-05-31-France-Senegal
25165,2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,Sapporo,Japan,True,2002-06-01-Germany-Saudi Arabia
25166,2002-06-01,Republic of Ireland,Cameroon,1,1,FIFA World Cup,Niigata,Japan,True,2002-06-01-Republic of Ireland-Cameroon
25167,2002-06-01,Uruguay,Denmark,1,2,FIFA World Cup,Ulsan,South Korea,True,2002-06-01-Uruguay-Denmark
25168,2002-06-02,Argentina,Nigeria,1,0,FIFA World Cup,Kashima,Japan,True,2002-06-02-Argentina-Nigeria
25169,2002-06-02,England,Sweden,1,1,FIFA World Cup,Saitama,Japan,True,2002-06-02-England-Sweden
25170,2002-06-02,Paraguay,South Africa,2,2,FIFA World Cup,Busan,South Korea,True,2002-06-02-Paraguay-South Africa
25171,2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,Gwangju,South Korea,True,2002-06-02-Spain-Slovenia
25172,2002-06-03,Brazil,Turkey,2,1,FIFA World Cup,Ulsan,South Korea,True,2002-06-03-Brazil-Turkey
25173,2002-06-03,Croatia,Mexico,0,1,FIFA World Cup,Niigata,Japan,True,2002-06-03-Croatia-Mexico
25174,2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,Sapporo,Japan,True,2002-06-03-Italy-Ecuador
25175,2002-06-04,China PR,Costa Rica,0,2,FIFA World Cup,Gwangju,South Korea,True,2002-06-04-China PR-Costa Rica
25176,2002-06-04,Japan,Belgium,2,2,FIFA World Cup,Saitama,Japan,False,2002-06-04-Japan-Belgium
25177,2002-06-04,South Korea,Poland,2,0,FIFA World Cup,Busan,South Korea,False,2002-06-04-South Korea-Poland
25178,2002-06-05,Germany,Republic of Ireland,1,1,FIFA World Cup,Kashima,Japan,True,2002-06-05-Germany-Republic of Ireland
25179,2002-06-05,Russia,Tunisia,2,0,FIFA World Cup,Kobe,Japan,True,2002-06-05-Russia-Tunisia
25180,2002-06-05,United States,Portugal,3,2,FIFA World Cup,Suwon,South Korea,True,2002-06-05-United States-Portugal
25181,2002-06-06,Cameroon,Saudi Arabia,1,0,FIFA World Cup,Saitama,Japan,True,2002-06-06-Cameroon-Saudi Arabia
25182,2002-06-06,Denmark,Senegal,1,1,FIFA World Cup,Daegu,South Korea,True,2002-06-06-Denmark-Senegal
25186,2002-06-07,Argentina,England,0,1,FIFA World Cup,Sapporo,Japan,True,2002-06-07-Argentina-England
25187,2002-06-07,Spain,Paraguay,3,1,FIFA World Cup,Jeonju,South Korea,True,2002-06-07-Spain-Paraguay
25188,2002-06-07,Sweden,Nigeria,2,1,FIFA World Cup,Kobe,Japan,True,2002-06-07-Sweden-Nigeria
25189,2002-06-08,Brazil,China PR,4,0,FIFA World Cup,Seogwipo,South Korea,True,2002-06-08-Brazil-China PR
25190,2002-06-08,Italy,Croatia,1,2,FIFA World Cup,Kashima,Japan,True,2002-06-08-Italy-Croatia
25192,2002-06-08,South Africa,Slovenia,1,0,FIFA World Cup,Daegu,South Korea,True,2002-06-08-South Africa-Slovenia
25193,2002-06-09,Costa Rica,Turkey,1,1,FIFA World Cup,Incheon,South Korea,True,2002-06-09-Costa Rica-Turkey
25194,2002-06-09,Japan,Russia,1,0,FIFA World Cup,Yokohama,Japan,False,2002-06-09-Japan-Russia
25196,2002-06-09,Mexico,Ecuador,2,1,FIFA World Cup,Rifu,Japan,True,2002-06-09-Mexico-Ecuador
25197,2002-06-10,South Korea,United States,1,1,FIFA World Cup,Daegu,South Korea,False,2002-06-10-South Korea-United States
25198,2002-06-10,Portugal,Poland,4,0,FIFA World Cup,Jeonju,South Korea,True,2002-06-10-Portugal-Poland
25199,2002-06-10,Tunisia,Belgium,1,1,FIFA World Cup,Ōita,Japan,True,2002-06-10-Tunisia-Belgium
25200,2002-06-11,Cameroon,Germany,0,2,FIFA World Cup,Fukuroi,Japan,True,2002-06-11-Cameroon-Germany
25201,2002-06-11,Denmark,France,2,0,FIFA World Cup,Incheon,South Korea,True,2002-06-11-Denmark-France
25202,2002-06-11,Saudi Arabia,Republic of Ireland,0,3,FIFA World Cup,Yokohama,Japan,True,2002-06-11-Saudi Arabia-Republic of Ireland
25203,2002-06-11,Senegal,Uruguay,3,3,FIFA World Cup,Suwon,South Korea,True,2002-06-11-Senegal-Uruguay
25205,2002-06-12,Slovenia,Paraguay,1,3,FIFA World Cup,Seogwipo,South Korea,True,2002-06-12-Slovenia-Paraguay
25206,2002-06-12,South Africa,Spain,2,3,FIFA World Cup,Daejeon,South Korea,True,2002-06-12-South Africa-Spain
25207,2002-06-12,Sweden,Argentina,1,1,FIFA World Cup,Rifu,Japan,True,2002-06-12-Sweden-Argentina
25208,2002-06-13,Costa Rica,Brazil,2,5,FIFA World Cup,Suwon,South Korea,True,2002-06-13-Costa Rica-Brazil
25209,2002-06-13,Ecuador,Croatia,1,0,FIFA World Cup,Yokohama,Japan,True,2002-06-13-Ecuador-Croatia
25210,2002-06-13,Mexico,Italy,1,1,FIFA World Cup,Ōita,Japan,True,2002-06-13-Mexico-Italy
25211,2002-06-13,Turkey,China PR,3,0,FIFA World Cup,Seoul,South Korea,True,2002-06-13-Turkey-China PR
25212,2002-06-14,Belgium,Russia,3,2,FIFA World Cup,Fukuroi,Japan,True,2002-06-14-Belgium-Russia
25213,2002-06-14,Japan,Tunisia,2,0,FIFA World Cup,Osaka,Japan,False,2002-06-14-Japan-Tunisia
25214,2002-06-14,South Korea,Portugal,1,0,FIFA World Cup,Incheon,South Korea,False,2002-06-14-South Korea-Portugal
25215,2002-06-14,Poland,United States,3,1,FIFA World Cup,Daejeon,South Korea,True,2002-06-14-Poland-United States
25216,2002-06-15,Denmark,England,0,3,FIFA World Cup,Niigata,Japan,True,2002-06-15-Denmark-England
